case_number,year,type,country,age,species_,month,fatal,sex
2005.09.23,2005,Unprovoked,australia,44,Bronze whaler shark,Sep,N,M
2005.09.20,2005,Unprovoked,usa,68,3' to 4' shark,Sep,N,F
2005.09.05,2005,Unprovoked,usa,18,Bull shark,Sep,N,F
2005.09.04.a,2005,Unprovoked,australia,40,4 m [13'] white shark,Sep,N,M
2005.08.24.b,2005,Unprovoked,australia,23,White shark,Aug,Y,M
2005.08.24.a,2005,Unprovoked,usa,37,juvenile white shark,Aug,N,M
2005.08.22,2005,Invalid,usa,17,Shark involvement not confirmed,Aug,,M
2005.08.21,2005,Unprovoked,usa,8,Possibly a sandbar shark or small blacktip shark,Aug,N,M
2005.08.12,2005,Unprovoked,usa,16,1.8 m [6'] shark,Aug,N,M
2005.07.22,2005,Invalid,usa,25,Shark involvement not confirmed,Jul,,M
2005.07.15,2005,Unprovoked,usa,22,[4.5' to 5'] shark,Jul,N,M
2005.07.13,2005,Unprovoked,usa,14,[4' to 5'],Jul,N,F
2005.06.27,2005,Unprovoked,usa,16,Bull shark,Jun,N,M
2005.06.25,2005,Unprovoked,usa,14,1.8 m [6'] bull shark,Jun,Y,F
2005.06.22,2005,Unprovoked,vanuatu,7,"On 8/13/2005 anglers from New Zealand caught a 2.8 m [9'3""], 140-kg [309-lb] shark at the same spot. It was believed this was the same shark that killed Alysha",Jun,Y,F
2005.06.18,2005,Invalid,usa,49,Invalid,Jun,,M
2005.06.16,2005,Unprovoked,usa,20,"Unknown, but it was reported that a shark tooth was recovered from the wound",Jun,N,M
2005.06.05,2005,Invalid,usa,17,"Mr. Burgess of ISAF announced the injury was the bite of a 1.8 m [6'], 2- to 3-year old white shark. Subsequent investigation revealed there was  no shark involvement in this incident",Jun,,M
2005.06.04,2005,Unprovoked,south africa,22,White shark,Jun,Y,M
2005.05.28,2005,Unprovoked,usa,33,"""small shark""",May,N,M
2005.05.25,2005,Unprovoked,south africa,32,Raggedtooth shark,May,N,M
2005.05.02,2005,Unprovoked,usa,47,"Tiger shark, 3 m [10']",May,N,M
2005.04.25,2005,Provoked,australia,25,"Mako shark, 1.5 m [5'] ",Apr,N,M
2005.04.16.a,2005,Unprovoked,australia,40,Bronze whaler shark,Apr,N,M
2005.03.28,2005,Unprovoked,south africa,32,4 m [13'] shark,Mar,N,M
2005.03.19,2005,Unprovoked,australia,26,6 m [20'] white shark,Mar,Y,M
2005.03.12,2005,Provoked,usa,45,"Sandtiger shark, 2.1 m [7'] ",Mar,N,M
2005.01.08,2005,Boating,new zealand,39,White shark,Jan,N,M
2004.12.16,2004,Unprovoked,australia,18,4.5 m & 5 m white shark ,Dec,Y,M
2004.12.11,2004,Unprovoked,australia,38,Bull shark,Dec,Y,M
2004.11.27,2004,Unprovoked,south africa,20,Raggedtooth shark,Nov,N,M
2004.11.15,2004,Unprovoked,south africa,77,6 m [20'] white shark,Nov,Y,F
2004.11.11.b,2004,Unprovoked,usa,38,5.5 m [18'] white shark,Nov,N,
2004.10.31,2004,Unprovoked,cuba,40,2.5 m [8.25'] bull shark,Oct,N,M
2004.10.30.a,2004,Unprovoked,south africa,52,2 m [6.75'] white shark,Oct,N,M
2004.10.21,2004,Unprovoked,australia,59,"Bronze whaler shark, 2.4 m [8'] ",Oct,N,M
2004.10.09.b,2004,Unprovoked,usa,34,"Tiger shark, 2.4 m to 3.7 m [8' to 12'] ",Oct,N,M
2004.10.09.a,2004,Unprovoked,south africa,34,"Raggedtooth shark, 1.5 to 2 m [5' to 6.75']",Oct,N,M
2004.10.06,2004,Unprovoked,reunion,15,Thought to involve a 2.5 m bull or tiger shark,Oct,N,M
2004.09.20,2004,Unprovoked,usa,26,White shark,Sep,N,M
2004.09.04,2004,Unprovoked,usa,17,2.4 m [8'] shark,Sep,N,F
2004.08.21,2004,Unprovoked,brazil,24,"Tiger shark, 1.5 m ",Aug,N,M
2004.08.15,2004,Unprovoked,usa,50,4.9 m to 5.5 m [16' to 18'] white shark,Aug,Y,M
2004.08.06,2004,Unprovoked,usa,47,1.2 m [4'] shark,Aug,N,M
2004.07.27.b,2004,Unprovoked,usa,13,1.8 m [6'] shark,Jul,N,F
2004.07.27.a,2004,Unprovoked,usa,19,1.2 m to 1.5 m [4' to 5'] shark,Jul,N,F
2004.07.25,2004,Unprovoked,usa,11,Bull shark,Jul,N,M
2004.07.10,2004,Unprovoked,australia,30,"2 sharks, 4.5 m & 3 m ",Jul,Y,M
2004.07.02.a,2004,Unprovoked,usa,7,4' to 5' shark,Jul,N,M
2004.06.26.b,2004,Unprovoked,usa,45,"9'2"" white shark",Jun,N,M
2004.06.10.b,2004,Unprovoked,australia,17,"Bronze whaler shark, 2.5 m [8.25'] ",Jun,N,M
2004.06.10.a,2004,Unprovoked,usa,8,1.2 m [4'] shark,Jun,N,M
2004.06.02,2004,Unprovoked,south africa,21,White shark,Jun,Y,M
2004.05.29,2004,Unprovoked,usa,16,0.9 m to 1.5 m [3' to 5'] shark,May,N,M
2004.05.23.b,2004,Unprovoked,brazil,17,Bull shark,May,N,M
2004.05.28,2004,Unprovoked,usa,44,2.4 m to 3.7 m [8' to 12'] shark,May,N,M
2004.05.18,2004,Provoked,bahamas,63,"1,5 m [5'] Caribbean reef shark (Carcharhinus  perezi)",May,N,M
2004.05.04,2004,Unprovoked,usa,28,"Mako shark, 1.8 m [6']",May,N,M
2004.04.07,2004,Unprovoked,usa,57,Tiger shark,Apr,Y,M
2004.04.05,2004,Unprovoked,south africa,16,5 m [16.5'] white shark,Apr,N,M
2004.03.31.a,2004,Unprovoked,usa,20,1.2 m [4'] bull shark,Mar,N,M
2004.03.29,2004,Unprovoked,brazil,22,bull shark,Mar,N,M
2004.03.27.b,2004,Unprovoked,reunion,20,2.5 m shark,Mar,N,M
2004.03.16,2004,Unprovoked,usa,51,"Tiger shark, 2.4 m to 3 m [8' to 10'] ",Mar,N,M
2004.02.26,2004,Unprovoked,new zealand,15,2 m [6.75'] sevengill  shark,Feb,N,M
2004.02.16,2004,Invalid,australia,31,Shark involvement not confirmed,Feb,,M
2004.01.25,2004,Unprovoked,australia,46,4 m to 5 m [13' to 16.5'] white shark,Jan,N,M
2004.01.21.a,2004,Unprovoked,venezuela,40,"Bull shark, 132-kg [291-lb] ",Jan,N,M
2003.11.27,2003,Unprovoked,south africa,21,"Tiger shark, 4 m [13']  ?",Nov,Y,M
2003.11.22,2003,Unprovoked,usa,35,4' shark,Nov,N,F
2003.10.31.c,2003,Unprovoked,usa,18,1.2 m to 1.5 m [4' to 5'] shark,Oct,N,M
2003.10.31.b,2003,Unprovoked,australia,22,"1.5 m [5'] shark, either a bronze whaler or a grey nurse shark",Oct,N,M
2003.10.31.a,2003,Unprovoked,usa,13,"Tiger shark, 14' ",Oct,N,F
2003.10.24,2003,Invalid,usa,56,Shark involvement not confirmed,Oct,,M
2003.10.14,2003,Unprovoked,usa,19,1.2 m [4'] shark,Oct,N,M
2003.10.05.a,2003,Unprovoked,usa,41,"1.2 m [4'] ""grey-colored shark""",Oct,N,F
2003.09.14.c,2003,Unprovoked,usa,30,3' shark,Sep,N,M
2003.09.14.a,2003,Invalid,usa,8 or 10,Shark involvement doubtful,Sep,,F
2003.09.13.b,2003,Unprovoked,usa,18,6' shark,Sep,N,M
2003.09.13.a,2003,Unprovoked,usa,15,7' shark,Sep,N,M
2003.09.12,2003,Unprovoked,south africa,19,White shark,Sep,Y,M
2003.08.19,2003,Unprovoked,usa,50,4.5 m to 5.5 m [15' to 18'] white shark,Aug,Y,F
2003.08.12,2003,Invalid,usa,31,Shark involvement not confirmed,Aug,,M
2003.08.08,2003,Unprovoked,south africa,16,3.5 m [11.5'] white shark,Aug,N,M
2003.07.09,2003,Unprovoked,bahamas,58,Unidentified species,Jul,N,M
2003.07.05.b,2003,Provoked,usa,10,2' shark,Jul,N,M
2003.07.04,2003,Unprovoked,bahamas,39,2.1 m  [7'] bull shark,Jul,N,M
2003.06.30,2003,Unprovoked,usa,17,Unidentified species,Jun,N,M
2003.06.26,2003,Unprovoked,usa,15,106 cm [3.5']  shark,Jun,N,M
2003.06.24.b,2003,Unprovoked,usa,12,small brown shark,Jun,N,F
2003.06.24.a,2003,Unprovoked,usa,60,3.7 m to 4.3 m [12' to 14'] shark,Jun,N,M
2003.06.19,2003,Unprovoked,usa,33,"""sand shark""",Jun,N,M
2003.05.14,2003,Unprovoked,usa,22,3' to 5' shark,May,N,M
2003.05.10,2003,Unprovoked,usa,20,1.8 m [6'] reef shark - or a 2.1 m to 2.4 m [7' to 8'] grey-colored shark,May,N,M
2003.05.07,2003,Provoked,usa,34,4' to 5' shark,May,N,M
2003.04.23.b,2003,Unprovoked,brazil,17,Bull shark,Apr,N,M
2003.04.21.b,2003,Unprovoked,usa,36,Unidentified species,Apr,N,M
2003.04.21.a,2003,Unprovoked,usa,17,Unidentified species,Apr,N,M
2003.04.20.c,2003,Unprovoked,usa,30,Unidentified species,Apr,N,M
2003.04.20.b,2003,Unprovoked,usa,23,0.9 m to 1.2 m [3' to 4'] shark,Apr,N,M
2003.04.20.a,2003,Unprovoked,usa,18,Unidentified species,Apr,N,M
2003.04.19,2003,Unprovoked,usa,11,A small shark,Apr,N,M
2003.04.18,2003,Unprovoked,usa,12,Unidentified species,Apr,N,M
2003.04.15,2003,Unprovoked,usa,20,"15 cm to 20 cm [6"" to 8""] bite diameter just below left knee",Apr,N,M
2003.04.11,2003,Unprovoked,venezuela,28,"Mako shark, 3 m [10']",Apr,N,M
2003.04.04,2003,Unprovoked,usa,50,4' to 5' shark,Apr,N,M
2003.02.27,2003,Unprovoked,new zealand,44,2.5 m [8.25'] white shark,Feb,N,M
2003.02.15.b,2003,Unprovoked,australia,37,"""a small shark""",Feb,N,M
2003.02.15.a,2003,Unprovoked,usa,54,Species unidentified,Feb,N,M
2003.02.11,2003,Unprovoked,australia,24,Thought to involve a 2 m [6.75'] grey nurse shark,Feb,N,M
2003.02.08,2003,Unprovoked,australia,84,Thought to involve a >2 m [6.75'] bull shark,Feb,Y,M
2003.01.17,2003,Invalid,south africa,14,Shark involvement prior to death was not confirmed,Jan,,M
2002.12.24,2002,Unprovoked,south africa,25,"White shark, 4 m white shark",Dec,N,M
2002.12.16,2002,Unprovoked,australia,23,Bull shark,Dec,Y,M
2002.11.28.a,2002,Unprovoked,usa,48,3 m to 4.5 m [10' to 15'] white shark,Nov,N,M
2002.11.17,2002,Unprovoked,usa,34,2.4 m to 3 m [8' to 10'] grey colored shark,Nov,N,F
2002.11.14,2002,Unprovoked,turks & caicos,41,1.8 m to 2.1 m [6' to 7']  Caribbean Reef Shark ,Nov,N,F
2002.11.11,2002,Unprovoked,usa,21,6' shark,Nov,N,M
2002.11.02,2002,Unprovoked,usa,16,3' to 4' shark,Nov,N,M
2002.10.30,2002,Unprovoked,usa,60,A small shark,Oct,N,F
2002.10.14,2002,Unprovoked,brazil,36,Possibly a bull shark or tiger shark,Oct,Y,M
2002.10.05.b,2002,Unprovoked,usa,14,Blacktip or spinner shark,Oct,N,M
2002.10.05.a,2002,Unprovoked,usa,35,3.5' to 4.5' shark,Oct,N,M
2002.10.03,2002,Unprovoked,usa,18,3.5' to 4' shark,Oct,N,M
2002.09.30,2002,Unprovoked,usa,47,4' to 5' shark,Sep,N,M
2002.09.27.c,2002,Unprovoked,usa,55,1.2 m [4'] blacktip shark,Sep,N,M
2002.09.27.b,2002,Provoked,usa,  ,1.8 m [6'] blacktip shark,Sep,N,M
2002.09.27.a,2002,Provoked,tonga, ,"Tiger shark, 1.5 m [5']k",Sep,N,M
2002.09.21.b,2002,Unprovoked,usa,24,2.4 m [8'] shark,Sep,N,M
2002.09.21.a,2002,Unprovoked,usa,35,3 m to 3.7 m [10' to 12'] shark,Sep,N,M
2002.09.16.b,2002,Unprovoked,brazil,19,Bull or tiger shark,Sep,N,M
2002.09.13,2002,Unprovoked,south africa,47,White shark,Sep,N,M
2002.09.09,2002,Unprovoked,usa,20,4' to 6' shark,Sep,N,M
2002.09.05,2002,Provoked,usa,36,1' to 2' hammerhead or bonnethed shark,Sep,N,M
2002.08.28,2002,Unprovoked,usa,16,"Tiger shark, 2.4 m to 3 m [8' to 10'] ",Aug,N,M
2002.08.14,2002,Unprovoked,usa,27,0.9 m  to 1.2 m [3' to 4'] shark,Aug,N,M
2002.08.11,2002,Unprovoked,usa,15,"Nurse shark, 1.5 m [5'] ",Aug,N,M
2002.08.05,2002,Unprovoked,usa,14,1.2 m to 1.5 m [4' to 5'] shark,Aug,N,M
2002.07.26,2002,Unprovoked,usa,13,1.2 m [4'] blacktip or sandbar shark,Jul,N,M
2002.07.20,2002,Unprovoked,usa,15,"Bull shark, 1.8 m to 2.1 m [6' to 7'] ",Jul,N,F
2002.07.09.b,2002,Provoked,usa,41,"Mako shark, 400-lb ",Jul,Y,M
2002.07.09.a,2002,Unprovoked,brazil,22,Bull or tiger shark,Jul,N,M
2002.07.04,2002,Unprovoked,usa,9,"1.2 m to 1.5 m [4' to 5'] shark, possibly a bull shark",Jul,N,F
2002.06.11.a,2002,Unprovoked,usa,28,0.9 m to 1.2 m [3' to 4'] shark; Tooth fragment recovered from hand,Jun,N,M
2002.06.09.b,2002,Unprovoked,usa,50,  ,Jun,N,M
2002.06.03,2002,Unprovoked,south africa,50,1.5 to 2.5 m [5' to 8.25'] copper shark,Jun,N,M
2002.05.31.b,2002,Unprovoked,usa,24,3.7 m to 4.3 m [12' to 14'] white shark,May,N,M
2002.05.31.a,2002,Unprovoked,usa,16,1 m  shark,May,N,M
2002.05.22.b,2002,Provoked,usa,55,3' blacktip shark,May,N,M
2002.04.30,2002,Unprovoked,australia,23,"White shark, 6m [20']",Apr,Y,M
2002.04.20,2002,Unprovoked,usa,34,1.2 m [4'] shark,Apr,N,M
2002.04.09,2002,Unprovoked,bahamas,43,"Bull shark, 400-lb ",Apr,N,M
2002.04.02,2002,Unprovoked,usa,41,3'  shark,Apr,N,M
2002.04.01,2002,Unprovoked,usa,29,0.9 m [3'] shark,Apr,N,M
2002.03.25.b,2002,Unprovoked,usa,17,Tiger shark,Mar,N,M
2002.03.25.a,2002,Unprovoked,usa,11,  ,Mar,N,F
2002.03.19,2002,Unprovoked,usa,20,4' shark,Mar,N,M
2002.03.15.b,2002,Unprovoked,usa,39,"Nurse shark, 1m ",Mar,N,M
2002.03.15.a,2002,Unprovoked,usa,31,"Spinner shark, 3' to 4' ",Mar,N,M
2002.02.16,2002,Unprovoked,australia,30 or 36,"1.5 m [5'] ""whaler shark""",Feb,N,M
2002.02.07,2002,Boating,australia,35,C. leucas tooth fragment recovered from kayak,Feb,N,M
2002.01.30.b,2002,Unprovoked,australia,20,"Tiger shark, 3 m [10']",Jan,N,M
2002.01.04,2002,Unprovoked,south africa,16,Zambesi shark?,Jan,N,M
2002.01.01.b,2002,Unprovoked,south africa,26,Unidentified,Jan,N,M
2002.01.01.a,2002,Unprovoked,usa,35,"Tiger shark, 1.8 m [6'] ",Jan,N,M
2001.10.02,2001,Unprovoked,australia,20,Bronze whaler shark?,Oct,N,F
2001.09.30.b,2001,Unprovoked,mexico,26,"Tiger shark, 1.8 m [6']",Sep,N,M
2001.09.24,2001,Provoked,usa,21,4' shark,Sep,N,M
2001.09.16,2001,Invalid,usa,42,Questionable incident - shark bite may have precipitated drowning,Sep,Y,M
2001.09.15.b,2001,Unprovoked,usa,6½,2' to 3.5' shark,Sep,N,M
2001.09.03.b,2001,Unprovoked,usa,28,A large white shark was filmed by divers on a local wreck 2 days prior to the incident.,Sep,Y,M
2001.09.03.a,2001,Unprovoked,usa,23,A large white shark was filmed by divers on a local wreck 2 days prior to the incident.,Sep,N,F
2001.09.02,2001,Unprovoked,usa,20,1.5 m [5'] shark,Sep,N,M
2001.09.01,2001,Unprovoked,usa,10,bull shark,Sep,Y,M
2001.08.31,2001,Unprovoked,bahamas,44,3 m [10'] bull shark,Aug,N,M
2001.08.22,2001,Unprovoked,usa,17,a small shark,Aug,N,M
2001.08.18.c,2001,Unprovoked,usa,20,Possibly  a blacktip or spinner shark,Aug,N,M
2001.08.18.b,2001,Unprovoked,usa,19,"3' shark, possibly  a blacktip or spinner shark",Aug,N,M
2001.08.18.a,2001,Unprovoked,usa,19,"Blacktip shark, 5' to 6' ",Aug,N,M
2001.08.16,2001,Unprovoked,bahamas,43,1.9 m [6.5'] bull shark,Aug,N,M
2001.07.15.a,2001,Unprovoked,usa,18,0.9 m  [3'] shark,Jul,N,M
2001.07.06.a,2001,Unprovoked,usa,8,"Bull shark, 2.3 m [7.5'] ",Jul,N,M
2001.06.10,2001,Provoked,usa,52,"White shark, 2.4 m to 3 m [8' to 10'] ",Jun,N,M
2001.06.03,2001,Unprovoked,usa,29,2' shark,Jun,N,F
2001.05.03,2001,Unprovoked,usa,45,1.2 m to 1.5 m [4' to 5'] shark,May,N,M
2001.04.13.a,2001,Unprovoked,usa,12,Possibly a juvenile blacktip or spinner shark,Apr,N,M
2001.04.12.c,2001,Unprovoked,usa,21,Possibly a juvenile blacktip or spinner shark,Apr,N,M
2001.04.12.b,2001,Unprovoked,usa,12,Possibly a juvenile blacktip or spinner shark,Apr,N,M
2001.04.12.a,2001,Unprovoked,usa,22,Possibly a 1.5 m [5'] blacktip or spinner shark,Apr,N,M
2001.04.11.d,2001,Unprovoked,usa,19,Possibly a juvenile blacktip or spinner shark,Apr,N,M
2001.04.08.b,2001,Unprovoked,south africa,46,"White shark, 2.7 m [9'] ",Apr,N,M
2001.04.05,2001,Unprovoked,usa,26,"""small shark""",Apr,N,M
2001.04.02.a,2001,Unprovoked,australia,40,Bronze whaler shark,Apr,N,M
2001.02.04,2001,Unprovoked,australia,40,"Bronze whaler shark, 2.5 m [8.25']  k",Feb,N,M
2000.12.12,2000,Unprovoked,fiji,47,6 m [20'] shark,Dec,Y,M
2000.12.03,2000,Unprovoked,australia,38,"Bronze whaler shark, 2.5 m [8.25'] ",Dec,N,M
2000.11.18,2000,Unprovoked,usa,73,1.2 m to 1.8 m [4' to 6'] shark,Nov,N,M
2000.11.06.b,2000,Unprovoked,australia,52,"White shark, 4.9 m [16'] ",Nov,N,M
2000.11.06.a,2000,Unprovoked,australia,49,"White shark, 5 m [16.5'] ",Nov,Y,M
2000.11.04,2000,Unprovoked,usa,27,"White shark, 2.4 m to 3 m [8' to 10'] ",Nov,N,M
2000.10.18,2000,Unprovoked,usa,56,"Tiger shark, 1.8 m to 2.4 m [6' to 8'] ",Oct,N,F
2000.10.09,2000,Unprovoked,usa,17,2.1 to 2.4 m [7' to 8'] shark,Oct,N,M
2000.10.06.b,2000,Unprovoked,usa,23,"Blacktip shark, 2' ",Oct,N,M
2000.09.25,2000,Unprovoked,australia,17,White shark,Sep,Y,M
2000.09.24,2000,Unprovoked,australia,25,"White shark, 4 m to 5 m [13' to 16.5'] ",Sep,Y,M
2000.09.16.b,2000,Unprovoked,okinawa,31,"White shark, 2.5 m ",Sep,Y,M
2000.09.11,2000,Unprovoked,usa,25,60 cm to 90 cm [2' to 3'] shark,Sep,N,M
2000.09.10.a,2000,Unprovoked,south africa,48,"White shark, 3.5 m [11.5']  male ",Sep,N,M
2000.09.08.b,2000,Unprovoked,usa,40,1.5 m [5'] shark,Sep,N,M
2000.09.08.a,2000,Unprovoked,reunion,27,"Tiger shark, 3 m [10'] ",Sep,N,M
2000.08.31,2000,Unprovoked,usa,47,A 2' shark was seen in the area by witnesses,Aug,N,M
2000.08.30,2000,Unprovoked,usa,69,"Thought to involve a 2.7 m [9'], 400-lb bull shark",Aug,Y,M
2000.08.15,2000,Unprovoked,usa,53,"Tiger shark, 3.7 m to 4.5 m [12' to 14'9""]  ",Aug,N,M
2000.08.13,2000,Unprovoked,usa,27,juvenile shark,Aug,N,M
2000.08.12,2000,Unprovoked,usa,44,"Blacktip shark, 2.4 m to 3 m [8' to 10'] ",Aug,N,F
2000.07.06,2000,Unprovoked,usa,12,"Tiger shark, 0.9 m to 1.5 m [3' to 5'] ?",Jul,N,F
2000.07.04.a,2000,Unprovoked,usa,55,"Nurse shark, 1.2 m [4'] ",Jul,N,F
2000.07.02.b,2000,Unprovoked,usa,13,0.9 m [3'] shark,Jul,N,F
2000.07.02.a,2000,Unprovoked,usa,19,"0.9 m [3'] shark,  probably a blacktip or spinner shark",Jul,N,F
2000.06.10,2000,Unprovoked,usa,17,"Blacktip shark, 1.2 m to 1.8 m [4' to 6'] ",Jun,N,M
2000.06.09.b,2000,Unprovoked,usa,55,Bull shark?,Jun,N,M
2000.06.09.a,2000,Unprovoked,usa,44,Bull shark,Jun,N,M
2000.03.30,2000,Unprovoked,australia,26,2.5 m shark,Mar,N,M
2000.03.26,2000,Unprovoked,usa,14,1.8 m [6'] shark,Mar,N,F
2000.03.24,2000,Unprovoked,usa,37,1.2 m [4'] shark,Mar,N,M
2000.03.15,2000,Unprovoked,new caledonia,35,Tiger shark?,Mar,Y,M
2000.03.00,2000,Unprovoked,usa,39,"Shortfin mako shark, 3 m to 3.4 m [10' to 11'] ",Mar,N,M
1999.12.06,1999,Invalid,brazil,39,Shark involvement not confirmed,Dec,N,M
1999.11.23,1999,Unprovoked,usa,51,"Tiger shark, 1.8 m to 2.4 m [6' to 8'] ",Nov,N,F
1999.11.06,1999,Unprovoked,brazil,39,1.3 to 1.6 m shark,Nov,N,M
1999.10.01,1999,Unprovoked,usa,16,"Tiger shark, 1.8 m to 2.4 m [6' to 8'] ",Oct,N,M
1999.09.18,1999,Unprovoked,usa,37,White shark,Sep,N,M
1999.08.26,1999,Unprovoked,usa,28,"""a small shark""",Aug,N,M
1999.08.23,1999,Unprovoked,marshall islands,23,7' shark,Aug,N,M
1999.08.16,1999,Unprovoked,usa,10,1.8 m [6'] shark,Aug,N,M
1999.08.05.a,1999,Unprovoked,usa,62,4' to 5' shark,Aug,N,M
1999.08.05,1999,Unprovoked,bahamas,35,2.7 m [9']  bull shark or Caribbean reef shark,Aug,N,M
1999.07.29,1999,Unprovoked,south africa,42,"White shark, 3 m to 5 m [10' to 16.5'] ",Jul,N,M
1999.07.26,1999,Unprovoked,usa,43,"Bull shark, 2.1 m [7']",Jul,N,M
1999.07.21,1999,Unprovoked,usa,43,"Tiger shark, 1.8 m to 2.4 m [6' to 8'] ",Jul,N,M
1999.07.15,1999,Unprovoked,south africa,14,White shark,Jul,Y,M
1999.07.04,1999,Unprovoked,usa,30,"Blacktip shark, 1.8 m [6'] ",Jul,N,F
1999.07.03,1999,Unprovoked,south africa,29,"White shark, 4 m [13'] ",Jul,N,M
1999.06.17,1999,Unprovoked,usa,21,3' to 4' shark,Jun,N,M
1999.06.09,1999,Unprovoked,usa,5,Blacktip or spinner shark,Jun,N,M
1999.05.29,1999,Unprovoked,australia,22,Thought to involve a white shark,May,Y,M
1999.05.01,1999,Unprovoked,brazil,21,"Tiger shark, 2.5 m [8.25']",May,N,M
1999.04.22,1999,Unprovoked,mauritius,41,"Grey reef shark, 1.5 m ",Apr,N,F
1999.04.11,1999,Unprovoked,reunion,52,3 bull sharks,Apr,Y,M
1999.03.05,1999,Unprovoked,usa,29,3.7 m to 4.6 m [12' to 15'] shark seen in the vicinity,Mar,N,F
1999.02.23,1999,Unprovoked,australia,35,Bronze whaler or tiger shark,Feb,N,M
1999.02.03,1999,Unprovoked,usa,25,Spinner shark,Feb,N,M
1999.00.00.b,1999,Unprovoked,south africa,30,"White shark, 4.6 m [15'] ",,N,M
1998.12.20.R,1998,Unprovoked,south africa,18,Possibly a white shark,Dec,N,M
1998.11.21,1998,Unprovoked,usa,9,Tiger shark,Nov,Y,M
1998.11.14,1998,Unprovoked,usa,14,1.2 m [4'] shark,Nov,N,M
1998.11.11,1998,Unprovoked,usa,13,"A ""small shark""",Nov,N,M
1998.11.02.a,1998,Unprovoked,brazil,22,Though to involve a white shark,Nov,Y,M
1998.08.30,1998,Unprovoked,usa,26,3' to 4' shark,Aug,N,M
1998.08.26,1998,Unprovoked,usa,16,"White shark, 5 m to 6 m [16.5' to 20'] ",Aug,N,M
1998.08.15,1998,Unprovoked,bahamas,28,"Caribbean reef shark, 1.2 m to 1.5 m [4' to 5'] ",Aug,N,M
1998.08.01.a,1998,Unprovoked,south africa,24,"White shark, 4.9 m [16']",Aug,N,M
1998.07.11,1998,Unprovoked,south africa,16,5' to 6' shark,Jul,N,M
1998.06.28.a,1998,Unprovoked,australia,26,Thought to involve a 5.5 m white shark named Kong,Jun,Y,M
1998.06.22,1998,Unprovoked,south africa,20,White shark,Jun,Y,M
1998.05.29.b,1998,Unprovoked,south africa,15,3 m to 4 m [10' to 13'] white shark,May,N,M
1998.05.29.a,1998,Unprovoked,south africa,16,Unidentified,May,N,M
1998.05.25,1998,Unprovoked,usa,40,"Lemon shark, 1.5 m [5'], identified  by the surfer",May,N,M
1998.05.16.c,1998,Unprovoked,usa,14,"1.8 m [6'] shark, possibly a blacktip",May,N,F
1998.05.16.a,1998,Unprovoked,south africa,22,4 m [13'] white shark,May,N,M
1998.04.26,1998,Unprovoked,mozambique,35,3 m [10'] shark,Apr,Y,F
1998.04.21,1998,Unprovoked,usa,50,5 m [16.5'] white shark,Apr,N,M
1998.03.15,1998,Unprovoked,south africa,33,3 m [10'] white shark,Mar,N,M
1998.03.08.a,1998,Unprovoked,usa,32,5' spinner shark,Mar,N,M
1998.01.28.R ,1998,Invalid,australia,31,Shark involvement not confirmed,Jan,,M
1998.01.14,1998,Unprovoked,mozambique,23,Small dusky shark or blackfin shark,Jan,N,M
1997.12.28.b,1997,Unprovoked,south africa,39,White shark,Dec,Y,M
1997.11.09,1997,Unprovoked,australia,42,White shark,Nov,N,M
1997.10.28.a,1997,Unprovoked,usa,19,"Tiger shark, 4 m to 4.3 m [13' to 14'] ",Oct,N,M
1997.10.24,1997,Unprovoked,usa,23,Possibly a blacktip shark,Oct,N,M
1997.10.21,1997,Unprovoked,usa,12,1.2 m to 1.5 m [4' to 5'] shark,Oct,N,M
1997.08.24,1997,Unprovoked,usa,29,5 m [16.5'] white shark,Aug,N,M
1997.08.02.b,1997,Unprovoked,usa,17,juvenile shark,Aug,N,M
1997.08.02.a,1997,Unprovoked,usa,19,"""juvenile shark""",Aug,N,M
1997.07.21,1997,Unprovoked,south africa,25,4.5 m white shark,Jul,Y,M
1997.07.14,1997,Unprovoked,usa,50,Blacktip shark,Jul,N,M
1997.06.15,1997,Unprovoked,fiji,47,"Tiger shark, 2.7m  [9']",Jun,N,F
1997.06.09,1997,Unprovoked,usa,18,Possibly a spinner shark,Jun,N,M
1997.06.02,1997,Unprovoked,usa,33,1.2 m [4'] shark (spinner shark?),Jun,N,M
1997.05.31.c,1997,Unprovoked,usa,35,4' shark,May,N,M
1997.05.31.b,1997,Unprovoked,usa,34,Possibly a sand shark,May,N,M
1997.05.31.a,1997,Unprovoked,usa,12,Possibly a sand shark,May,N,M
1997.02.28.a,1997,Unprovoked,australia, 30,"Tiger shark, 2m to 3m ",Feb,N,M
1997.01.25,1997,Unprovoked,australia,27,1.8 m to 2.1 m [6' to 7'] shark,Jan,N,M
1997.01.20,1997,Unprovoked,australia,41,"Tiger shark, 4.5 m [14'9""]",Jan,Y,M
1996.11.29.a,1996,Unprovoked,usa,45,3 m to 5 m [10' to 16.5'] white shark,Nov,N,M
1996.10.05.,1996,Unprovoked,usa,22,5.5 m to 6 m [18' to 20'] white shark,Oct,N,M
1996.10.03.b,1996,Unprovoked,usa,21,1.2 m [4'] shark,Oct,N,M
1996.10.03.a,1996,Unprovoked,usa,31,5 m [16.5'] white shark,Oct,N,M
1996.09.06.b,1996,Unprovoked,new zealand,23,White shark,Sep,N,M
1996.09.06.a,1996,Unprovoked,usa,19,"""a young shark""",Sep,N,M
1996.09.01.b,1996,Invalid,usa,28,Shark involvement not confirmed,Sep,,F
