case_number,year,type,country,age,species_,month,fatal,sex
2016.07.29,2016,Unprovoked,spain,40,Blue shark,Jul,N,M
2016.07.20,2016,Provoked,australia,31,"reef shark, 1m",Jul,N,M
2016.07.15.b,2016,Unprovoked,usa,61,"White shark, 10' to 12'",Jul,N,M
2016.07.07.b,2016,Provoked,usa,59,dogfish shark,Jul,N,M
2016.07.04,2016,Provoked,australia,34,Tawny nurse shark,Jul,N,M
2016.06.21.b,2016,Unprovoked,usa,42,3' to 5' shark,Jun,N,M
2016.06.14,2016,Unprovoked,usa,6,3' to 4' shark,Jun,N,F
2016.06.11,2016,Unprovoked,usa,19,3' shark,Jun,N,M
2016.06.07,2016,Invalid,usa,27,Said to involve an 8' shark but more likely damage caused by debris,Jun,,M
2016.06.05.a,2016,Unprovoked,australia,60,3+ m shark,Jun,Y,F
2016.06.04,2016,Unprovoked,egypt,23,Mako shark,Jun,N,M
2016.05.31,2016,Unprovoked,australia,29,White shark,May,Y,M
2016.05.29.a,2016,Unprovoked,usa,13,5' shark,May,N,M
2016.05.21.b,2016,Unprovoked,usa,22,"Bull shark, 4' to 5'",May,N,F
2016.05.18,2016,Unprovoked,usa,48,"Blacktip shark, 4'",May,N,M
2016.05.15,2016,Provoked,usa,23,"Nurse shark, 2'",May,N,F
2016.05.02,2016,Provoked,new zealand,39,"Mako shark, 1.5 m [5'] ",May,N,M
2016.04.25,2016,Unprovoked,indonesia,24,"Bull shark, 6'",Apr,N,M
2016.04.19,2016,Unprovoked,australia,12,Wobbegong shark,Apr,N,M
2016.04.18.b,2016,Provoked,french polynesia,22,"Grey reef shark, 2 m",Apr,N,M
2016.04.18.a,2016,Provoked,french polynesia,26,"Grey reef shark, 2 m",Apr,N,M
2016.04.09,2016,Unprovoked,new caledonia,69,"Tiger shark, 2.5 m",Apr,Y,F
2016.01.23,2016,Unprovoked,usa,48,"Tiger shark, 14'",Jan,N,M
2016.01.05,2016,Unprovoked,australia,11,Blacktip shark,Jan,N,M
2016.01.02,2016,Unprovoked,australia,31,3 m shark,Jan,N,M
2015.12.22,2015,Unprovoked,usa,71,9' shark,Dec,N,M
2015.12.21.b,2015,Unprovoked,australia,43,"Bronze whaler shark, 6'",Dec,N,M
2015.11.20,2015,Unprovoked,ecuador,55,Galapagos shark,Nov,N,M
2015.11.10,2015,Unprovoked,australia,20,"Bull shark, 2.8 to 3.1 m",Nov,N,M
2015.12.23,2015,Invalid,usa,9,Shark involvement not confirmed,Nov,,F
2015.11.01.b,2015,Unprovoked,usa,28,3' to 5' shark,Nov,N,F
2015.10.25,2015,Unprovoked,south africa,42,"White shark, 3 to 3.5m ",Oct,N,M
2015.10.21,2015,Unprovoked,usa,21,5' shark,Oct,N,M
2015.10.19,2015,Unprovoked,usa,21,"Spinner shark, 5'",Oct,N,M
2015.10.17.b,2015,Invalid,usa,32,No shark involvement,Oct,,M
2015.10.17.a,2015,Unprovoked,usa,44,"Tiger shark, 7'",Oct,N,M
2015.10.09.a,2015,Unprovoked,usa,25,"Tiger shark, 13' ",Oct,N,M
2015.10.05.a,2015,Unprovoked,usa,13,4' to 5' shark,Oct,N,M
2015.10.04,2015,Unprovoked,usa,14,"Blacktip shark, 4' to 5'",Oct,N,M
2015.09.29,2015,Unprovoked,usa,22,"Blacktip shark, 5' to 6'",Sep,N,M
2015.09.20.d,2015,Unprovoked,usa,14,juvenile shark,Sep,N,M
2015.09.20.c,2015,Unprovoked,usa,27,"Tiger shark, 13'",Sep,N,M
2015.09.20.b,2015,Unprovoked,usa,12,4' shark,Sep,N,M
2015.09.08,2015,Unprovoked,australia,42,6' shark,Sep,N,M
2015.09.06,2015,Unprovoked,usa,50,"White shark, 11' to 12'",Sep,N,F
2015.09.05,2015,Provoked,usa,29,Hammerhead shark.,Sep,N,M
2015.09.04,2015,Unprovoked,australia,62,"White shark, 2.5 m",Sep,N,M
2015.09.01,2015,Unprovoked,thailand,37,small shark,Sep,N,F
2015.08.29.b,2015,Unprovoked,usa,54,"White shark, 11' to 12'",Aug,N,F
2015.08.29.a,2015,Unprovoked,usa,21,"White shark, 10' to 12' ",Aug,N,M
2015.08.20,2015,Unprovoked,usa,15,4' shark,Aug,N,M
2015.08.19,2015,Unprovoked,usa,10,3' shark,Aug,N,F
2015.08.18.b,2015,Boating,usa,22,"White shark, 13'",Aug,N,M
2015.08.18.a,2015,Invalid,spain,10,Shark involvement not confirmed,Aug,,M
2015.08.10,2015,Provoked,usa,57,Hammerhead shark. 6' to 7',Aug,N,M
2015.07.31,2015,Unprovoked,australia,52,White shark,Jul,N,M
2015.07.26.b,2015,Unprovoked,usa,25,"Blacktip or spinner shark, 4'",Jul,N,M
2015.07.26.a,2015,Invalid,usa,35,"Thought to involve a 3' to 4' shark, but shark involvement not confirmed",Jul,,F
2015.07.25,2015,Unprovoked,australia,46,"White shark, 3.9 to 4.2 m",Jul,Y,M
2015.07-10,2015,Unprovoked,usa,38,"White shark, 7'",Jul,N,M
2015.07.03,2015,Unprovoked,australia,52,White shark,Jul,N,M
2015.07.02,2015,Unprovoked,australia,32,White shark,Jul,N,M
2015.07.01,2015,Unprovoked,usa,68,6' to 7' shark,Jul,N,M
2015.06.30.a,2015,Unprovoked,usa,12,4' to 5' shark,Jun,N,M
2015.06.27.b,2015,Unprovoked,usa,18,Bull shark,Jun,N,M
2015.06.27.a,2015,Unprovoked,south africa,19,White shark,Jun,N,M
2015.06.26.b,2015,Unprovoked,south africa,23,"White shark, 2m to 3 m",Jun,N,M
2015.06.26.a,2015,Unprovoked,usa,43,4' shark,Jun,N,M
2015.06.24.b,2015,Unprovoked,usa,6,Sandtiger shark,Jun,N,M
2015.06.24.a,2015,Invalid,australia,37,White shark,Jun,N,F
2015.06.14.b,2015,Unprovoked,usa,16,Bull shark,Jun,N,M
2015.06.14.a,2015,Unprovoked,usa,12,Bull shark,Jun,N,F
2015.06.11,2015,Unprovoked,usa,13,4' shark,Jun,N,F
2015.06.07,2015,Unprovoked,usa,11,"Bull shark, 5'",Jun,N,M
2015.06.01,2015,Unprovoked,reunion,47,"Bull shark, 2.5 m",Jun,N,M
2015.05.25,2015,Unprovoked,french polynesia,19,1m to 1.2 m shark,May,N,M
2015.05.20,2015,Unprovoked,usa,18,5' shark,,N,M
2015.05.02,2015,Unprovoked,south africa,29,"White shark, 3.5 m",May,N,M
2015.04.26,2015,Unprovoked,usa,63,3- to 4-foot shark,Apr,N,M
2015.04.25,2015,Unprovoked,australia,26,"White shark, 6 m",Apr,N,M
2015.04.24.c,2015,Unprovoked,australia,71,"White shark, 3 m",Jun,N,M
2015.04.12,2015,Unprovoked,reunion,13,Bull shark,Apr,Y,M
2015.04.03,2015,Unprovoked,usa,70,Bull shark,Apr,N,M
2015.03.31,2015,Invalid,brazil,23,No shark involvement,Mar,,M
2015.03.18,2015,Unprovoked,usa,58,"Tiger shark, 8 to 12 feet",Mar,N,M
2015.03.16,2015,Unprovoked,french polynesia,9,Blacktip shark,Mar,N,M
2015.02.14,2015,Unprovoked,reunion,22,"Tiger shark, 3.5 m",Feb,Y,F
2015.02.09,2015,Unprovoked,australia,41,3.5 to 4 m shark,Feb,Y,M
2015.02.08,2015,Unprovoked,australia,35,2 m to  3 m shark,Feb,N,M
2015.01.30,2015,Boating,australia,57,"Bull shark, 1.3 m",Jan,N,M
2015.01.27,2015,Provoked,usa,20,4' shark,Jan,N,M
2015.01.06,2015,Unprovoked,bahamas,34,White shark or oceanic whitetip shark,Jan,N,F
2015.01.03,2015,Unprovoked,south africa,15,"Raggedtooth shark, 1.3 m",Jan,N,M
2014.12.29.a,2014,Unprovoked,australia,17,"White shark, 4 to 5 m",Dec,Y,M
2014.12.28.b,2014,Unprovoked,usa,50,"White shark, 8' to 10'",Dec,N,M
2014.12.28.a,2014,Provoked,australia,40s,1.5 m shark,Dec,N,M
2014.12.15,2014,Unprovoked,australia,17,Tiger shark,Dec,Y,M
2014.11.16,2014,Unprovoked,usa,44,2' shark,Nov,N,M
2014.11.13,2014,Unprovoked,usa,53,1.5 m shark,Nov,N,M
2014.10.31,2014,Unprovoked,usa,34,"Tiger shark, 12'",Oct,N,F
2014.10.17,2014,Unprovoked,australia,13,1 m shark,Oct,N,F
2014.10.05.b,2014,Unprovoked,usa,29,Blacktip shark,Oct,N,M
2014.10.05.a,2014,Unprovoked,usa,15,Blacktip shark,Oct,N,M
2014.10.02.b,2014,Unprovoked,usa,28,8' to 10' shark,Oct,N,M
2014.10.02.a,2014,Unprovoked,australia,23,"2 white shark: 13' & 9""8""",Oct,N,M
2014.09.09,2014,Unprovoked,australia,50,7' shark,Sep,Y,M
2014.09.06,2014,Unprovoked,usa,43,Bull shark,Sep,N,M
2014.09.03,2014,Boating,usa,20s,"White shark, 12' to 14'",Sep,N,F
2014.09.02,2014,Provoked,usa,52,3' to 4' shark,Sep,N,M
2014.08.31,2014,Unprovoked,usa,13,Spinner shark,Aug,N,F
2014.08.08,2014,Unprovoked,usa,7," Bull shark, 5'",Aug,N,M
2014.08.06,2014,Unprovoked,usa,10,4' tp 5' shark,Aug,N,M
2014.08.01,2014,Unprovoked,south africa,20,White shark,Aug,N,M
2014.07.16,2014,Unprovoked,usa,61,6' to 8' shark,Jul,N,M
2014.07.14,2014,Unprovoked,usa,39,4' shark,Jul,N,M
2014.07.13,2014,Invalid,bahamas,63,Shark involvement not confirmed,Jul,,M
2014.07.03,2014,Unprovoked,usa,19,4' to 5' shark,Jul,N,M
2014.06.09.b,2014,Unprovoked,usa,16," Sandbar shark, 3' to 4'",Jun,N,M
2014.06.09.a,2014,Unprovoked,australia,39,"Bronze whaler shark, 1.5m",Jun,N,M
2014.06.01.c,2014,Unprovoked,usa,22,Bull shark,Jun,N,F
2014.05.14,2014,Unprovoked,australia,35," white shark, 15' ",May,N,M
2014.05.06,2014,Unprovoked,usa,40,4' to 5' shark,May,N,F
2014.05.01,2014,Unprovoked,usa,23,3' shark,May,N,M
2014.04.03,2014,Unprovoked,australia,63,3 m to 4 m white shark,Apr,Y,F
2014.03.29,2014,Invalid,australia,38,Shark involvement prior to death not confirmed,Mar,,M
2014.03.22.b,2014,Unprovoked,south africa,66,2 m shark,Mar,Y,M
2014.02.20,2014,Unprovoked,french polynesia,21,Blacktip reef shark ,Feb,N,M
2014.02.07,2014,Unprovoked,new zealand,28,7-gill shark?,Feb,N,M
2013.12.25,2013,Unprovoked,new caledonia,37,Reported to involve a bull shark,Dec,N,M
2013.12.16,2013,Unprovoked,south africa,19,"White shark, 3m ",Dec,N,M
2013.12.11,2013,Unprovoked,usa,29,"Tiger shark, 10' to 12'",Dec,N,M
2013.12.10,2013,Unprovoked,usa,30,4' to 6' shark,Dec,N,M
2013.12.05,2013,Unprovoked,australia,26," Wobbegong shark, 1.6 to 1.8m ",Dec,N,M
2013.11.30,2013,Unprovoked,australia,19,"Tiger shark, 3m ",Nov,Y,M
2013.11.23.a,2013,Unprovoked,australia,35,Thought to involve a white shark,Nov,Y,M
2013.11.22,2013,Unprovoked,usa,25,"White shark, 10 '",Nov,N,M
2013.10.31,2013,Unprovoked,usa,46,Tiger shark,Oct,N,M
