year,type,country,age,species_,month,fatal,sex,age_clean
2017,Unprovoked,australia,35,"White shark, 3 to 3.5m ",Sep,N,M,35
2017,Unprovoked,australia,37,"White shark, 3 m",Aug,N,M,37
2017,Invalid,spain,11,Shark involvement questionable,Aug,,F,11
2017,Unprovoked,usa,69,"White shark, 5' to 7'",Aug,N,M,69
2017,Unprovoked,usa,13,Possibly a juvenile blacktip shark,Aug,N,M,13
2017,Provoked,usa,34,4' shark,Aug,N,M,34
2017,Invalid,usa,10,A small shark,Jul,,M,10
2017,Boating,usa,40,"White shark, 11' to 13'",Jul,N,M,40
2017,Unprovoked,usa,50,"White shark, 8' to 10'",Jul,N,M,50
2017,Unprovoked,usa,46,"Bull shark, 4' to 5'",Jul,N,M,46
2017,Unprovoked,south africa,13,"White shark, 2.5 m",Jul,N,F,13
2017,Unprovoked,australia,48,"White shark, 4 m",Jun,N,M,48
2017,Unprovoked,bahamas,32,Tiger shark,Jun,N,F,32
2017,Invalid,usa,18,Shark involvement highly doubtful,May,,F,18
2017,Unprovoked,australia,17,White shark,Apr,Y,F,17
2017,Unprovoked,usa,28,"Tiger shark, 12'",Apr,N,M,28
2017,Unprovoked,usa,17,"Bull shark, 5' to 7'",Apr,N,F,17
2017,Unprovoked,australia,55,"Bull shark, 4 m",Jan,N,M,55
2017,Unprovoked,indonesia,48,"Bull shark, 1 m",Jan,N,M,48
2017,Invalid,australia,20,Shark involvement not confirmed,Jan,,M,20
2016,Unprovoked,south africa,55,"White shark, 4 m",Dec,N,M,55
2016,Invalid,usa,19,Shark involvement not confirmed,Dec,,M,19
2016,Provoked,australia,20,"Wobbegong shark, 2m",Dec,N,M,20
2016,Unprovoked,australia,65,White shark,Dec,N,M,65
2016,Provoked,australia,73,"Broadnose sevengill shark, 1.5 m",Nov,N,M,73
2016,Unprovoked,usa,58,Tiger shark,Nov,N,F,58
2016,Unprovoked,usa,36, 6' to 8' shark,Oct,N,M,36
2016,Unprovoked,australia,17,"White shark, 3.5 m",Sep,N,M,17
2016,Unprovoked,usa,60s,3' to 4' shark,Sep,N,M,
2016,Unprovoked,usa,51,"Tiger shark, 10'",Sep,N,F,51
2016,Unprovoked,usa,25,"Bull shark, 6'",Aug,N,M,25
2016,Unprovoked,usa,21,"Tiger shark, 10' ",Aug,N,M,21
2016,Unprovoked,spain,40,Blue shark,Jul,N,M,40
2016,Provoked,australia,31,"reef shark, 1m",Jul,N,M,31
2016,Unprovoked,usa,61,"White shark, 10' to 12'",Jul,N,M,61
2016,Provoked,usa,59,dogfish shark,Jul,N,M,59
2016,Provoked,australia,34,Tawny nurse shark,Jul,N,M,34
2016,Unprovoked,usa,42,3' to 5' shark,Jun,N,M,42
2016,Unprovoked,usa,6,3' to 4' shark,Jun,N,F,6
2016,Unprovoked,usa,19,3' shark,Jun,N,M,19
2016,Invalid,usa,27,Said to involve an 8' shark but more likely damage caused by debris,Jun,,M,27
2016,Unprovoked,australia,60,3+ m shark,Jun,Y,F,60
2016,Unprovoked,egypt,23,Mako shark,Jun,N,M,23
2016,Unprovoked,australia,29,White shark,May,Y,M,29
2016,Unprovoked,usa,13,5' shark,May,N,M,13
2016,Unprovoked,usa,22,"Bull shark, 4' to 5'",May,N,F,22
2016,Unprovoked,usa,48,"Blacktip shark, 4'",May,N,M,48
2016,Provoked,usa,23,"Nurse shark, 2'",May,N,F,23
2016,Provoked,new zealand,39,"Mako shark, 1.5 m [5'] ",May,N,M,39
2016,Unprovoked,indonesia,24,"Bull shark, 6'",Apr,N,M,24
2016,Unprovoked,australia,12,Wobbegong shark,Apr,N,M,12
2016,Provoked,french polynesia,22,"Grey reef shark, 2 m",Apr,N,M,22
2016,Provoked,french polynesia,26,"Grey reef shark, 2 m",Apr,N,M,26
2016,Unprovoked,new caledonia,69,"Tiger shark, 2.5 m",Apr,Y,F,69
2016,Unprovoked,usa,48,"Tiger shark, 14'",Jan,N,M,48
2016,Unprovoked,australia,11,Blacktip shark,Jan,N,M,11
2016,Unprovoked,australia,31,3 m shark,Jan,N,M,31
2015,Unprovoked,usa,71,9' shark,Dec,N,M,71
2015,Unprovoked,australia,43,"Bronze whaler shark, 6'",Dec,N,M,43
2015,Unprovoked,ecuador,55,Galapagos shark,Nov,N,M,55
2015,Unprovoked,australia,20,"Bull shark, 2.8 to 3.1 m",Nov,N,M,20
2015,Invalid,usa,9,Shark involvement not confirmed,Nov,,F,9
2015,Unprovoked,usa,28,3' to 5' shark,Nov,N,F,28
2015,Unprovoked,south africa,42,"White shark, 3 to 3.5m ",Oct,N,M,42
2015,Unprovoked,usa,21,5' shark,Oct,N,M,21
2015,Unprovoked,usa,21,"Spinner shark, 5'",Oct,N,M,21
2015,Invalid,usa,32,No shark involvement,Oct,,M,32
2015,Unprovoked,usa,44,"Tiger shark, 7'",Oct,N,M,44
2015,Unprovoked,usa,25,"Tiger shark, 13' ",Oct,N,M,25
2015,Unprovoked,usa,13,4' to 5' shark,Oct,N,M,13
2015,Unprovoked,usa,14,"Blacktip shark, 4' to 5'",Oct,N,M,14
2015,Unprovoked,usa,22,"Blacktip shark, 5' to 6'",Sep,N,M,22
2015,Unprovoked,usa,14,juvenile shark,Sep,N,M,14
2015,Unprovoked,usa,27,"Tiger shark, 13'",Sep,N,M,27
2015,Unprovoked,usa,12,4' shark,Sep,N,M,12
2015,Unprovoked,australia,42,6' shark,Sep,N,M,42
2015,Unprovoked,usa,50,"White shark, 11' to 12'",Sep,N,F,50
2015,Provoked,usa,29,Hammerhead shark.,Sep,N,M,29
2015,Unprovoked,australia,62,"White shark, 2.5 m",Sep,N,M,62
2015,Unprovoked,thailand,37,small shark,Sep,N,F,37
2015,Unprovoked,usa,54,"White shark, 11' to 12'",Aug,N,F,54
2015,Unprovoked,usa,21,"White shark, 10' to 12' ",Aug,N,M,21
2015,Unprovoked,usa,15,4' shark,Aug,N,M,15
2015,Unprovoked,usa,10,3' shark,Aug,N,F,10
2015,Boating,usa,22,"White shark, 13'",Aug,N,M,22
2015,Invalid,spain,10,Shark involvement not confirmed,Aug,,M,10
2015,Provoked,usa,57,Hammerhead shark. 6' to 7',Aug,N,M,57
2015,Unprovoked,australia,52,White shark,Jul,N,M,52
