,case_number,year,type,country,age,species_,month,fatal,sex,species_shark,edad_ataques
352,2014.04.03,2014.0,Unprovoked,australia,63.0,3 m to 4 m white shark,Apr,Y,F,White,mayor
353,2014.03.29,2014.0,Invalid,australia,38.0,Shark involvement prior to death not confirmed,Mar,,M,Unspecified,adulto
354,2014.03.22.b,2014.0,Unprovoked,south africa,28.70969899665552,2 m shark,Mar,Y,M,Unspecified,mayor
355,2014.02.20,2014.0,Unprovoked,french polynesia,21.0,Blacktip reef shark ,Feb,N,M,Unspecified,joven
356,2014.02.07,2014.0,Unprovoked,new zealand,28.0,7-gill shark?,Feb,N,M,Unspecified,joven
357,2013.12.25,2013.0,Unprovoked,new caledonia,37.0,Reported to involve a bull shark,Dec,N,M,Bull,adulto
358,2013.12.16,2013.0,Unprovoked,south africa,19.0,"White shark, 3m ",Dec,N,M,White,joven
359,2013.12.11,2013.0,Unprovoked,usa,29.0,"Tiger shark, 10' to 12'",Dec,N,M,Tiger,joven
360,2013.12.10,2013.0,Unprovoked,usa,30.0,4' to 6' shark,Dec,N,M,Unspecified,joven
361,2013.12.05,2013.0,Unprovoked,australia,26.0," Wobbegong shark, 1.6 to 1.8m ",Dec,N,M,Unspecified,joven
362,2013.11.30,2013.0,Unprovoked,australia,19.0,"Tiger shark, 3m ",Nov,Y,M,Tiger,joven
363,2013.11.23.a,2013.0,Unprovoked,australia,35.0,Thought to involve a white shark,Nov,Y,M,White,adulto
364,2013.11.22,2013.0,Unprovoked,usa,25.0,"White shark, 10 '",Nov,N,M,White,joven
365,2013.10.31,2013.0,Unprovoked,usa,46.0,Tiger shark,Oct,N,M,Tiger,adulto
366,2013.10.28,2013.0,Unprovoked,australia,60.0,"Blacktip reef shark, 1m",Oct,N,F,Unspecified,mayor
367,2013.10.26.b,2013.0,Unprovoked,reunion,24.0,Thought to involve a bull shark,Oct,N,M,Bull,joven
368,2013.10.24,2013.0,Unprovoked,australia,41.0,Wobbegong shark,Oct,N,M,Unspecified,adulto
369,2013.10.23,2013.0,Unprovoked,usa,45.0,"Whitetip reef shark, 4' to 6'",Oct,N,M,White,adulto
370,2013.10.20,2013.0,Unprovoked,usa,25.0,Tiger shark,Oct,N,M,Tiger,joven
371,2013.10.19,2013.0,Unprovoked,usa,6.0,Nurse shark?,Oct,N,M,Unspecified,joven
372,2013.10.11,2013.0,Unprovoked,south africa,28.70969899665552,White shark,Oct,Y,M,White,mayor
373,2013.10.08,2013.0,Unprovoked,australia,55.0,White shark,Oct,N,M,White,adulto
374,2013.10.05,2013.0,Unprovoked,usa,45.0,"White shark, 8' to 10'",Oct,N,M,White,adulto
375,2013.09.14,2013.0,Unprovoked,usa,21.0,Bull shark,Sep,N,M,Bull,joven
376,2013.09.12,2013.0,Unprovoked,usa,13.0,3' shark,Sep,N,F,Unspecified,joven
377,2013.09.07.b,2013.0,Provoked,usa,43.0,3' shark,Sep,N,M,Unspecified,adulto
378,2013.09.07.a,2013.0,Unprovoked,usa,25.0,3' shark,Sep,N,M,Unspecified,joven
379,2013.09.01.a,2013.0,Unprovoked,usa,9.0,4' shark,Sep,N,M,Unspecified,joven
380,2013.08.14,2013.0,Unprovoked,usa,20.0,Tiger shark?,Aug,Y,F,Tiger,joven
381,2013.08.11,2013.0,Unprovoked,usa,10.0,"Bull shark, 8'",Aug,N,M,Bull,joven
382,2013.08.05,2013.0,Unprovoked,usa,17.0,"Bull shark, 6' to 8'",Aug,N,M,Bull,joven
383,2013.07.29.c,2013.0,Unprovoked,bahamas,40.0,6' shark,Jul,N,M,Unspecified,adulto
384,2013.07.29.a,2013.0,Unprovoked,usa,18.0,"Tiger shark, 8' to 10' ",Jul,N,M,Tiger,joven
385,2013.07.28.b,2013.0,Unprovoked,bahamas,64.0,Nurse shark,Jul,N,M,Unspecified,mayor
386,2013.06.25.a,2013.0,Unprovoked,usa,14.0,4' to 5' shark,Jun,N,M,Unspecified,joven
387,2013.06.18,2013.0,Unprovoked,usa,28.0,"Tiger shark, 14'",Jun,N,M,Tiger,joven
388,2013.06.14.R,2013.0,Unprovoked,usa,10.0,4' to 5' shark,Jun,N,F,Unspecified,joven
389,2013.05.14,2013.0,Unprovoked,ecuador,29.0,Galapagos shark,May,N,M,Unspecified,joven
390,2013.05.08.a,2013.0,Unprovoked,reunion,36.0,Bull shark,May,Y,M,Bull,adulto
391,2013.05.04.a,2013.0,Unprovoked,usa,16.0,a small shark,May,N,M,Unspecified,joven
392,2013.04.24,2013.0,Unprovoked,mexico,34.0,Tiger shark,Apr,N,F,Tiger,adulto
393,2013.04.21,2013.0,Unprovoked,australia,51.0,"Grey nurse shark, 3m",Apr,N,M,Grey,adulto
394,2013.04.17,2013.0,Unprovoked,usa,9.0,3' shark,Apr,N,M,Unspecified,joven
395,2013.04.13.b,2013.0,Unprovoked,usa,21.0,Bull shark,Apr,N,M,Bull,joven
396,2013.04.10,2013.0,Unprovoked,french polynesia,53.0,Possibly a blacktip reef shark,Apr,N,M,Unspecified,adulto
397,2013.04.02.a,2013.0,Unprovoked,usa,58.0,4' shark,Apr,N,M,Unspecified,mayor
398,2013.03.16.b,2013.0,Provoked,south africa,30.0,"Raggedtooth shark, 1.5 m",Mar,N,M,Unspecified,joven
399,2013.03.12,2013.0,Unprovoked,jamaica,28.70969899665552,"Tiger shark, 4.8 m",Mar,Y,M,Tiger,mayor
400,2013.03.10.b,2013.0,Unprovoked,australia,28.0,"Bronze whaler shark, 2.5m",Mar,N,M,Unspecified,joven
401,2013.02.27,2013.0,Unprovoked,new zealand,46.0,"White shark, 4m",Feb,Y,M,White,adulto
402,2013.02.10,2013.0,Unprovoked,usa,16.0,"Blacktip shark, 4' to 5'",Feb,N,M,Unspecified,joven
403,2013.02.09,2013.0,Unprovoked,french polynesia,48.0,Lemon shark,Feb,N,M,Lemon,adulto
404,2013.01.16,2013.0,Unprovoked,usa,43.0,"Tiger shark, 15'",Jan,N,M,Tiger,adulto
405,2012.12.30,2012.0,Unprovoked,australia,23.0,2.5 m shark,Dec,N,M,Unspecified,joven
406,2012.12.28,2012.0,Unprovoked,australia,29.0,"Bull shark, 2m ",Dec,N,M,Bull,joven
407,2012.12.19,2012.0,Unprovoked,australia,32.0,"Tiger shark, 6'",Dec,N,M,Tiger,adulto
408,2012.12.05,2012.0,Unprovoked,usa,60.0,10' shark,Dec,N,M,Unspecified,mayor
409,2012.12.02,2012.0,Unprovoked,australia,31.0,Sandtiger shark,Dec,N,M,Tiger,joven
410,2012.11.30,2012.0,Unprovoked,usa,61.0,"Tiger shark, 10'",Nov,N,M,Tiger,mayor
411,2012.11.22,2012.0,Unprovoked,mexico,32.0,2.5 m shark,Nov,Y,M,Unspecified,adulto
412,2012.11.19,2012.0,Unprovoked,usa,14.0,2' to 3' shark,Nov,N,M,Unspecified,joven
413,2012.11.04.b,2012.0,Unprovoked,usa,30.0,"Tiger shark, 15'",Nov,N,M,Tiger,joven
414,2012.11.04.a,2012.0,Unprovoked,usa,43.0,"Tiger shark, 8'",Nov,N,M,Tiger,adulto
415,2012.10.30,2012.0,Unprovoked,usa,25.0,White shark,Oct,N,M,White,joven
416,2012.10.27,2012.0,Unprovoked,usa,51.0,"Tiger shark, 10' to 12' ",Oct,N,F,Tiger,adulto
417,2012.10.23,2012.0,Unprovoked,usa,39.0,"White shark, 15' to 16' ",Oct,Y,M,White,adulto
418,2012.10.18.a,2012.0,Unprovoked,usa,55.0,6' to 8' shark,Oct,N,M,Unspecified,adulto
419,2012.10.02,2012.0,Unprovoked,australia,11.0,2m shark,Oct,N,M,Unspecified,joven
420,2012.09.25,2012.0,Unprovoked,usa,21.0,5' shark,Sep,N,M,Unspecified,joven
421,2012.09.24,2012.0,Unprovoked,usa,22.0,4' shark,Sep,N,M,Unspecified,joven
422,2012.09.02.b,2012.0,Unprovoked,usa,8.0,3.5' to 4' shark,Sep,N,F,Unspecified,joven
423,2012.09.02.a,2012.0,Unprovoked,usa,56.0,3.5' to 4' shark,Sep,N,F,Unspecified,adulto
424,2012.08.09,2012.0,Unprovoked,usa,56.0,"Lemon shark, 4' to 5' ",Aug,N,M,Lemon,adulto
425,2012.07.31.a,2012.0,Unprovoked,australia,48.0,White shark or bronze whaler,Jul,N,M,White,adulto
426,2012.07.30.a,2012.0,Unprovoked,usa,50.0,Thought to involve a white shark,Jul,N,M,White,adulto
427,2012.07.14,2012.0,Unprovoked,australia,24.0,"White shark, 5m",Jul,Y,M,White,joven
428,2012.07.07.a,2012.0,Boating,usa,52.0,14' to 18'shark,Jul,N,M,Unspecified,adulto
429,2012.07.06,2012.0,Unprovoked,south africa,29.0,15' shark,Jul,N,M,Unspecified,joven
430,2012.06.26.c,2012.0,Unprovoked,usa,6.0,possibly a bull shark,Jun,N,M,Bull,joven
431,2012.06.26.a,2012.0,Unprovoked,usa,16.0,a small reef shark,Jun,N,F,Unspecified,joven
432,2012.06.20,2012.0,Unprovoked,australia,62.0,3 m shark,Jun,N,M,Unspecified,mayor
433,2012.06.15,2012.0,Provoked,usa,23.0,Nurse shark,Jun,N,M,Unspecified,joven
434,2012.06.14.d,2012.0,Unprovoked,usa,18.0,small blacktip shark?,Jun,N,F,Unspecified,joven
435,2012.06.14.a,2012.0,Unprovoked,usa,16.0,Blacktip shark ,Jun,N,M,Unspecified,joven
436,2012.06.12,2012.0,Unprovoked,australia,42.0,1.5 m shark,Jun,N,M,Unspecified,adulto
437,2012.06.10,2012.0,Provoked,italy,57.0,"Blue shark, 2.5m",Jun,,M,Unspecified,adulto
438,2012.06.03,2012.0,Unprovoked,australia,30.0,"White shark, 2 m",Jun,N,M,White,joven
439,2012.05.31,2012.0,Unprovoked,usa,33.0,"18"" to 24"" shark",May,N,F,Unspecified,adulto
440,2012.05.29,2012.0,Unprovoked,mexico,46.0,"Bull shark, 3m",May,N,M,Bull,adulto
441,2012.05.23,2012.0,Unprovoked,usa,22.0,4' to 5' shark,May,N,M,Unspecified,joven
442,2012.05.12,2012.0,Boating,usa,30.0,White shark,May,N,M,White,joven
443,2012.05.06,2012.0,Unprovoked,usa,15.0,White shark,May,N,F,White,joven
444,2012.04.19.b,2012.0,Unprovoked,usa,28.0,5' shark,Apr,N,M,Unspecified,joven
445,2012.04.19.a,2012.0,Unprovoked,south africa,20.0,"White shark, 4 m to 5m ",Apr,Y,M,White,joven
446,2012.04.03,2012.0,Unprovoked,usa,28.0,"Tiger shark, 10'  ",Apr,N,M,Tiger,joven
447,2012.03.31,2012.0,Unprovoked,australia,33.0,"White shark, 4m ",Mar,Y,M,White,adulto
448,2012.03.20,2012.0,Unprovoked,australia,20.0,Possibly a bull shark,Mar,N,M,Bull,joven
449,2012.03.15,2012.0,Unprovoked,usa,61.0,Possibly a 5' to 6' bull shark,Mar,N,M,Bull,mayor
450,2012.03.14.b,2012.0,Unprovoked,usa,15.0,4' to 5' shark,Mar,N,F,Unspecified,joven
451,2012.03.14.a,2012.0,Unprovoked,usa,17.0,4' to 5' shark,Mar,N,M,Unspecified,joven
452,2012.03.06.a,2012.0,Provoked,australia,34.0,"Tawny nurse shark, 40cm",Mar,N,F,Unspecified,adulto
453,2012.03.04,2012.0,Unprovoked,usa,19.0,4' shark,Mar,N,M,Unspecified,joven
454,2012.01.19,2012.0,Unprovoked,australia,26.0,"Tiger shark, 3m",Jan,N,M,Tiger,joven
455,2012.01.18.a,2012.0,Unprovoked,australia,44.0,"White shark, 2.7 m",Jan,N,M,White,adulto
456,2012.01.15,2012.0,Unprovoked,south africa,25.0,Thought to involve a bull shark,Jan,Y,M,Bull,joven
457,2012.01.03,2012.0,Unprovoked,australia,28.0,2 m shark,Jan,N,M,Unspecified,joven
458,2012.01.02,2012.0,Unprovoked,australia,34.0,Allegedly a 4 m tiger shark,Jan,N,M,Tiger,adulto
459,2011.12.11,2011.0,Unprovoked,australia,51.0,"White shark, 2.5m",Dec,N,M,White,adulto
460,2011.11.28,2011.0,Unprovoked,australia,10.0,Wobbegong shark?,Nov,N,M,Unspecified,joven
461,2011.10.22,2011.0,Unprovoked,australia,32.0,"White shark, 10'",Oct,Y,M,White,adulto
462,2011.10.19,2011.0,Unprovoked,australia,50.0,"Port Jackson shark, 1m",Oct,N,M,Unspecified,adulto
463,2011.09.30,2011.0,Invalid,usa,27.0,No shark involvement,Sep,,M,Unspecified,joven
464,2011.09.28.a,2011.0,Unprovoked,south africa,43.0,White shark,Sep,N,M,White,adulto
465,2011.09.24.b,2011.0,Unprovoked,usa,21.0,"Bull shark, 6'",Sep,N,M,Bull,joven
466,2011.09.16,2011.0,Unprovoked,usa,25.0,4' to 6' shark,Sep,N,M,Unspecified,joven
467,2011.09.11.a,2011.0,Unprovoked,papua new guinea,30.0,"Tiger shark, 2m",Sep,N,M,Tiger,joven
468,2011.09.04.a,2011.0,Unprovoked,australia,21.0,White shark,Sep,Y,M,White,joven
469,2011.09.02,2011.0,Unprovoked,usa,19.0,"6' shark, possibly a blactip or spinner shark",Sep,N,M,Unspecified,joven
470,2011.08.31,2011.0,Unprovoked,usa,19.0,6' shark,Aug,N,M,Unspecified,joven
471,2011.08.28.b,2011.0,Invalid,australia,48.0,Shark involvement prior to death not confirmed,Aug,,M,Unspecified,adulto
472,2011.08.23,2011.0,Unprovoked,south africa,49.0,"White shark, >6'",Aug,Y,M,White,adulto
473,2011.08.17.c.,2011.0,Unprovoked,usa,,Possibly a 5' to 6' sandtiger shark,Aug,N,F,Tiger,
474,2011.08.17.a,2011.0,Unprovoked,russia,25.0,4 m shark,Aug,N,M,Unspecified,joven
475,2011.08.16.c,2011.0,Unprovoked,french polynesia,32.0,Grey reef shark ,Aug,N,M,Grey,adulto
476,2011.08.16.a,2011.0,Unprovoked,seychelles,30.0,"Bull shark, 6'",Aug,Y,M,Bull,joven
477,2011.07.22,2011.0,Unprovoked,south africa,29.0,"White shark, 3m to 4m",Jul,N,M,White,joven
478,2011.06.28,2011.0,Unprovoked,south africa,22.0,"Bull shark, 3m female",Jun,N,M,Bull,joven
479,2011.06.26,2011.0,Unprovoked,usa,10.0,"Bull shark, 6'",Jun,N,F,Bull,joven
480,2011.06.12,2011.0,Unprovoked,usa,28.0,"Blacktip shark, 4'",Jun,N,M,Unspecified,joven
481,2011.06.06.a,2011.0,Unprovoked,usa,19.0,3' to 4' shark,Jun,N,M,Unspecified,joven
482,2011.05.21.b,2011.0,Unprovoked,south africa,28.0,Zambesi shark,May,Y,M,Unspecified,joven
483,2011.05.21.a,2011.0,Unprovoked,new caledonia,15.0," Tiger shark, 2.8m",May,Y,M,Tiger,joven
484,2011.04.23,2011.0,Unprovoked,australia,17.0,"reef shark, 1.5m",Apr,N,M,Unspecified,joven
485,2011.04.22,2011.0,Unprovoked,usa,49.0,1' to 2' shark,Apr,N,M,Unspecified,adulto
486,2011.04.16,2011.0,Unprovoked,new zealand,41.0,possibly a bronze whaler shark,Apr,N,M,Unspecified,adulto
487,2011.03.23,2011.0,Unprovoked,australia,48.0,"Bull shark, 2.5m",Mar,N,M,Bull,adulto
488,2011.03.16,2011.0,Unprovoked,australia,24.0,3 m to 4 m shark,Mar,N,F,Unspecified,joven
489,2011.02.28.R,2011.0,Provoked,australia,36.0,"Bull shark, 2m",Feb,N,M,Bull,adulto
490,2011.02.23,2011.0,Unprovoked,new caledonia,21.0,1.5 m shark,Feb,N,M,Unspecified,joven
491,2011.02.17,2011.0,Unprovoked,australia,49.0,White shark x 2,Feb,Y,M,White,adulto
492,2011.01.31,2011.0,Unprovoked,mexico,38.0,6' shark,Jan,N,F,Unspecified,adulto
493,2011.01.26,2011.0,Unprovoked,bahamas,55.0,Caribbean reef shark,Jan,N,M,Unspecified,adulto
494,2011.01.20,2011.0,Invalid,australia,7.0,Shark involvement not confirmed,Jan,,F,Unspecified,joven
495,2010.12.26,2010.0,Unprovoked,usa,16.0,6' shark,Dec,N,M,Unspecified,joven
496,2010.12.05,2010.0,Unprovoked,egypt,28.70969899665552,"Oceanic whitetip shark, 2.5m ",Dec,Y,F,White,mayor
497,2010.12.01.b,2010.0,Unprovoked,egypt,54.0,Mako shark ,Dec,N,M,Unspecified,adulto
498,2010.12.01.a,2010.0,Unprovoked,egypt,46.0,Mako shark,Dec,N,M,Unspecified,adulto
499,2010.11.30.b,2010.0,Unprovoked,egypt,28.70969899665552,"Oceanic whitetip shark, 2.5m, female",Nov,N,F,White,mayor
500,2010.11.30.a,2010.0,Unprovoked,egypt,48.0,"Oceanic whitetip shark, 2.5m, female",Nov,N,F,White,adulto
501,2010.10.30,2010.0,Unprovoked,australia,20.0,White shark,Oct,N,F,White,joven
502,2010.10.23.b,2010.0,Unprovoked,usa,30.0,"Porbeagle shark, 8' ",Oct,N,M,Unspecified,joven
503,2010.10.22,2010.0,Unprovoked,usa,19.0,"White shark, 14' to 18' ",Oct,Y,M,White,joven
504,2010.10.09,2010.0,Unprovoked,australia,22.0,"Bull shark, 1.4m ",Oct,N,M,Bull,joven
505,2010.09.27,2010.0,Unprovoked,usa,29.0,White shark,Sep,N,M,White,joven
506,2010.09.13,2010.0,Unprovoked,australia,15.0,2m shark,Sep,N,M,Unspecified,joven
507,2010.08.17,2010.0,Unprovoked,australia,31.0,White shark,Aug,Y,M,White,joven
508,2010.08.02.a,2010.0,Unprovoked,usa,37.0,3' to 4' shark,Aug,N,F,Unspecified,adulto
509,2010.07.19,2010.0,Unprovoked,usa,10.0,Possibly a small blacktip shark,Jul,N,M,Unspecified,joven
510,2010.07.17.b,2010.0,Unprovoked,usa,13.0,"Sandtiger shark, 4' to 5'",Jul,N,F,Tiger,joven
511,2010.07.16.b,2010.0,Provoked,spain,9.0,Angel shark,Jul,N,M,Unspecified,joven
512,2010.07.03,2010.0,Provoked,usa,20.0,"Blue shark, 7'",Jul,N,M,Unspecified,joven
513,2010.07.02.b,2010.0,Unprovoked,usa,19.0,4' shark,Jul,N,M,Unspecified,joven
514,2010.07.02.a,2010.0,Unprovoked,usa,48.0,8' shark,Jul,N,M,Unspecified,adulto
515,2010.06.15,2010.0,Unprovoked,vietnam,17.0,1 m shark,Jun,N,M,Unspecified,joven
516,2010.06.10,2010.0,Unprovoked,usa,18.0,4' shark,Jun,N,F,Unspecified,joven
517,2010.05.30,2010.0,Provoked,usa,49.0,"Lemon shark, 4'",May,N,M,Lemon,adulto
518,2010.05.18.c,2010.0,Unprovoked,vietnam,58.0,20 to 30kg shark,May,N,F,Unspecified,mayor
519,2010.05.18.b,2010.0,Unprovoked,vietnam,60.0,20 to 30kg shark,May,N,F,Unspecified,mayor
520,2010.05.01,2010.0,Unprovoked,usa,10.0,4' shark,May,N,F,Unspecified,joven
521,2010.04.28,2010.0,Provoked,usa,29.0,"Lemon shark, 6'",Apr,N,M,Lemon,joven
522,2010.04.19,2010.0,Unprovoked,usa,28.70969899665552,14' shark,Apr,N,M,Unspecified,mayor
523,2010.04.13,2010.0,Unprovoked,south africa,35.0,2 m shark,Apr,N,M,Unspecified,adulto
524,2010.04.04,2010.0,Unprovoked,egypt,24.0,"Oceanic whitetip shark, 6'",Apr,N,M,White,joven
525,2010.03.27,2010.0,Unprovoked,reunion,34.0,1.5 m shark,Mar,N,M,Unspecified,adulto
526,2010.02.13,2010.0,Unprovoked,australia,60.0,2 m shark,Feb,N,F,Unspecified,mayor
527,2010.02.11,2010.0,Unprovoked,australia,46.0,"Wobbegong shark, 1.6m",Feb,N,M,Unspecified,adulto
528,2010.02.06.b,2010.0,Unprovoked,australia,18.0,"White shark, 2.5m",Feb,N,M,White,joven
529,2010.02.04,2010.0,Invalid,guam,31.0,Invalid,Feb,,M,Unspecified,joven
530,2010.02.01,2010.0,Provoked,new zealand,14.0,1.5 m shark,Feb,N,F,Unspecified,joven
531,2010.01.12,2010.0,Unprovoked,south africa,37.0,White shark,Jan,Y,M,White,adulto
532,2009.12.22,2009.0,Unprovoked,mozambique,27.0,"Zambesi shark, 2m ",Dec,N,M,Unspecified,joven
533,2009.12.20.a,2009.0,Unprovoked,australia,18.0,"Bull shark, 3m",Dec,N,M,Bull,joven
534,2009.12.06,2009.0,Provoked,usa,58.0,"Sandtiger shark, 8'",Dec,N,M,Tiger,mayor
535,2009.11.25,2009.0,Invalid,usa,49.0,Shark involvement not confirmed,Nov,,M,Unspecified,adulto
536,2009.11.24,2009.0,Unprovoked,usa,10.0,6' shark,Nov,N,M,Unspecified,joven
537,2009.11.16.b,2009.0,Unprovoked,usa,31.0,Thresher shark,Nov,N,M,Unspecified,joven
538,2009.11.11,2009.0,Unprovoked,usa,18.0,4' shark,Nov,N,M,Unspecified,joven
539,2009.11.08,2009.0,Unprovoked,australia,25.0,2 m shark,Nov,N,M,Unspecified,joven
540,2009.10.30,2009.0,Boating,australia,27.0,"White shark, 4m",Oct,N,M,White,joven
541,2009.10.19,2009.0,Unprovoked,usa,54.0,6' to 8' shark,Oct,N,M,Unspecified,adulto
542,2009.10.17,2009.0,Provoked,scotland,23.0,Angel shark,Oct,N,M,Unspecified,joven
543,2009.10.02,2009.0,Provoked,united kingdom,39.0,Spurdog,Oct,N,M,Unspecified,adulto
544,2009.09.12,2009.0,Invalid,usa,60.0,Shark involvement prior to death not confirmed,Sep,Y,M,Unspecified,mayor
545,2009.08.29,2009.0,Unprovoked,south africa,25.0,White shark,Aug,Y,M,White,joven
546,2009.08.25,2009.0,Unprovoked,usa,22.0,"White shark, 5' to 6' juvenile ",Aug,N,F,White,joven
547,2009.08.01,2009.0,Unprovoked,usa,56.0,Bull shark?,Aug,N,M,Bull,adulto
548,2009.07.04,2009.0,Provoked,usa,43.0,"Nurse shark, 6'",Jul,N,F,Unspecified,adulto
549,2009.06.27,2009.0,Unprovoked,australia,52.0,"Thought to involve a Bronze whale shark, 2m",Jun,N,M,Unspecified,adulto
550,2009.06.16,2009.0,Invalid,usa,14.0,"Shark involvement probable, but not confirmed",Jun,,M,Unspecified,joven
551,2009.06.01,2009.0,Unprovoked,egypt,50.0,"Oceanic whitetip shark, 2.5 to 3m",Jun,Y,F,White,adulto
552,2009.05.31,2009.0,Provoked,taiwan,46.0,80 kg shark,May,N,M,Unspecified,adulto
553,2009.05.17,2009.0,Unprovoked,usa,31.0,blacktip or spinner shark,May,N,M,Unspecified,joven
554,2009.05.16.b,2009.0,Unprovoked,usa,49.0,blacktip or spinner shark,May,N,M,Unspecified,adulto
555,2009.05.16.a,2009.0,Unprovoked,usa,55.0,blacktip or spinner shark,May,N,M,Unspecified,adulto
556,2009.05.12,2009.0,Provoked,guam,27.0,"Blacktip shark, 4'",May,N,M,Unspecified,joven
557,2009.04.17.,2009.0,Unprovoked,usa,31.0,2' to 3' shark,Apr,N,M,Unspecified,joven
558,2009.04.12,2009.0,Unprovoked,australia,40.0,2' to 3' shark,Apr,N,M,Unspecified,adulto
559,2009.04.06.b,2009.0,Invalid,south africa,24.0,Shark involvement not confirmed,Apr,,M,Unspecified,joven
560,2009.03.20,2009.0,Unprovoked,australia,17.0,Bronze whaler shark?,Mar,N,M,Unspecified,joven
561,2009.03.18.a,2009.0,Unprovoked,usa,17.0,3' to 4' shark,Mar,N,F,Unspecified,joven
562,2009.03.17,2009.0,Unprovoked,usa,61.0,Thought to involve a cookie cutter shark,Mar,N,M,Unspecified,mayor
563,2009.03.02,2009.0,Provoked,south africa,40.0,"Blue shark, 1m",Mar,N,M,Unspecified,adulto
564,2009.03.01.a,2009.0,Unprovoked,australia,15.0,2.6 m shark,Mar,N,M,Unspecified,joven
565,2009.02.12,2009.0,Unprovoked,australia,33.0,"White shark, 2.5m ",Feb,N,M,White,adulto
566,2009.02.11,2009.0,Unprovoked,australia,31.0,"Bull shark, 2.7 m ",Feb,N,M,Bull,joven
567,2009.02.07.b,2009.0,Unprovoked,australia,41.0,"White shark, 12' ",Feb,N,M,White,adulto
568,2009.01.25,2009.0,Unprovoked,cuba,15.0,Bull shark,Jan,N,M,Bull,joven
569,2009.01.24.a,2009.0,Unprovoked,south africa,25.0,Tiger shark,Jan,Y,M,Tiger,joven
570,2009.01.12,2009.0,Unprovoked,australia,24.0,"Dusky shark, 2m",Jan,N,M,Unspecified,joven
571,2009.01.11.b,2009.0,Unprovoked,australia,13.0,"White shark, 5m",Jan,N,F,White,joven
572,2009.01.11.a,2009.0,Unprovoked,australia,31.0,"White shark, 3.5m",Jan,N,M,White,joven
573,2009.01.06,2009.0,Unprovoked,new zealand,49.0,Broadnose sevengill shark,Jan,N,M,Unspecified,adulto
574,2008.12.27.b,2008.0,Boating,australia,29.0,"White shark, 4m to 5m ",Dec,N,M,White,joven
575,2008.12.27.a,2008.0,Unprovoked,australia,51.0,4 to 5m white shark,Dec,Y,M,White,adulto
576,2008.12.10,2008.0,Provoked,south africa,15.0,"Raggedtooth shark, 2m",Dec,N,M,Unspecified,joven
577,2008.10.22,2008.0,Provoked,australia,34.0,"Grey nurse shark, 3m",Oct,N,M,Grey,adulto
578,2008.10.06,2008.0,Unprovoked,croatia,43.0,5 m white shark,Oct,N,M,White,adulto
579,2008.09.28.a,2008.0,Unprovoked,usa,40.0,+3' shark,Sep,N,M,Unspecified,adulto
580,2008.09.15,2008.0,Provoked,australia,43.0,Bronze whaler shark,Sep,N,M,Unspecified,adulto
581,2008.09.09,2008.0,Unprovoked,usa,40.0,Tiger shark,Sep,N,M,Tiger,adulto
582,2008.09.07,2008.0,Unprovoked,australia,51.0,3 m shark,Sep,N,M,Unspecified,adulto
583,2008.09.01,2008.0,Unprovoked,usa,52.0,4' shark,Sep,N,M,Unspecified,adulto
584,2008.08.30.b,2008.0,Invalid,usa,27.0,Shark involvement not confirmed,Aug,,M,Unspecified,joven
585,2008.08.27,2008.0,Unprovoked,usa,26.0,6' shark,Aug,N,M,Unspecified,joven
586,2008.08.22,2008.0,Invalid,usa,20.0,Shark involvement not confirmed,Aug,,F,Unspecified,joven
587,2008.08.16,2008.0,Unprovoked,usa,38.0,8' bull shark or Caribbean reef shark,Aug,N,F,Bull,adulto
588,2008.07.30.R,2008.0,Unprovoked,australia,31.0,8' white shark or 7-gill shark,Jul,N,M,White,joven
589,2008.07.24.a,2008.0,Unprovoked,usa,8.0,3' to 4' shark,Jul,N,F,Unspecified,joven
590,2008.07.19,2008.0,Unprovoked,usa,16.0,4' shark,Jul,N,M,Unspecified,joven
591,2008.06.28.c,2008.0,Invalid,usa,53.0,Shark involvement prior to death not confirmed,Jun,,M,Unspecified,adulto
592,2008.06.28.a,2008.0,Unprovoked,south africa,46.0,"White shark, 2m",Jun,N,M,White,adulto
593,2008.06.26.a,2008.0,Unprovoked,usa,37.0,4.5 to 5' shark,Jun,N,M,Unspecified,adulto
594,2008.06.21,2008.0,Boating,usa,40.0,"White shark, 15'",Jun,N,F,White,adulto
595,2008.06.01.b,2008.0,Unprovoked,usa,15.0,5' shark,Jun,N,F,Unspecified,joven
596,2008.06.01.a,2008.0,Unprovoked,brazil,14.0,Bull shark,Jun,N,M,Bull,joven
597,2008.05.24.a,2008.0,Unprovoked,mexico,49.0,3 m shark,May,N,M,Unspecified,adulto
598,2008.05.10,2008.0,Unprovoked,australia,37.0,"White shark, 4m",May,N,M,White,adulto
599,2008.05.07.b,2008.0,Unprovoked,new caledonia,40.0,2 small bull sharks,May,N,M,Bull,adulto
600,2008.04.28.b,2008.0,Unprovoked,mexico,24.0,Tiger shark,Apr,Y,M,Tiger,joven
601,2008.04.28.a,2008.0,Unprovoked,usa,18.0,4' shark,Apr,N,M,Unspecified,joven
602,2008.04.26.b,2008.0,Unprovoked,new caledonia,32.0,"Bull shark, 1.8m",Apr,N,M,Bull,adulto
603,2008.04.25,2008.0,Unprovoked,usa,28.70969899665552,"White shark, 12' to 15'",Apr,Y,M,White,mayor
604,2008.04.18,2008.0,Invalid,mexico,32.0,"Reported by media as shark attack, but shark involvement prior to death was not confirmed",Apr,,M,Unspecified,adulto
