,case_number,year,type,country,age,species_,month,fatal,sex,species_shark,edad_ataques
224,2016.09.26,2016.0,Unprovoked,australia,17.0,"White shark, 3.5 m",Sep,N,M,White,joven
225,2016.09.11,2016.0,Unprovoked,usa,,3' to 4' shark,Sep,N,M,Unspecified,
226,2016.09.07,2016.0,Unprovoked,usa,51.0,"Tiger shark, 10'",Sep,N,F,Tiger,adulto
227,2016.08.29.b,2016.0,Unprovoked,usa,25.0,"Bull shark, 6'",Aug,N,M,Bull,joven
228,2016.08.06,2016.0,Unprovoked,usa,21.0,"Tiger shark, 10' ",Aug,N,M,Tiger,joven
229,2016.07.29,2016.0,Unprovoked,spain,40.0,Blue shark,Jul,N,M,Unspecified,adulto
230,2016.07.20,2016.0,Provoked,australia,31.0,"reef shark, 1m",Jul,N,M,Unspecified,joven
231,2016.07.15.b,2016.0,Unprovoked,usa,61.0,"White shark, 10' to 12'",Jul,N,M,White,mayor
232,2016.07.07.b,2016.0,Provoked,usa,59.0,dogfish shark,Jul,N,M,Unspecified,mayor
233,2016.07.04,2016.0,Provoked,australia,34.0,Tawny nurse shark,Jul,N,M,Unspecified,adulto
234,2016.06.21.b,2016.0,Unprovoked,usa,42.0,3' to 5' shark,Jun,N,M,Unspecified,adulto
235,2016.06.14,2016.0,Unprovoked,usa,6.0,3' to 4' shark,Jun,N,F,Unspecified,joven
236,2016.06.11,2016.0,Unprovoked,usa,19.0,3' shark,Jun,N,M,Unspecified,joven
237,2016.06.07,2016.0,Invalid,usa,27.0,Said to involve an 8' shark but more likely damage caused by debris,Jun,,M,Unspecified,joven
238,2016.06.05.a,2016.0,Unprovoked,australia,60.0,3+ m shark,Jun,Y,F,Unspecified,mayor
239,2016.06.04,2016.0,Unprovoked,egypt,23.0,Mako shark,Jun,N,M,Unspecified,joven
240,2016.05.31,2016.0,Unprovoked,australia,29.0,White shark,May,Y,M,White,joven
241,2016.05.29.a,2016.0,Unprovoked,usa,13.0,5' shark,May,N,M,Unspecified,joven
242,2016.05.21.b,2016.0,Unprovoked,usa,22.0,"Bull shark, 4' to 5'",May,N,F,Bull,joven
243,2016.05.18,2016.0,Unprovoked,usa,48.0,"Blacktip shark, 4'",May,N,M,Unspecified,adulto
244,2016.05.15,2016.0,Provoked,usa,23.0,"Nurse shark, 2'",May,N,F,Unspecified,joven
245,2016.05.02,2016.0,Provoked,new zealand,39.0,"Mako shark, 1.5 m [5'] ",May,N,M,Unspecified,adulto
246,2016.04.25,2016.0,Unprovoked,indonesia,24.0,"Bull shark, 6'",Apr,N,M,Bull,joven
247,2016.04.19,2016.0,Unprovoked,australia,12.0,Wobbegong shark,Apr,N,M,Unspecified,joven
248,2016.04.18.b,2016.0,Provoked,french polynesia,22.0,"Grey reef shark, 2 m",Apr,N,M,Grey,joven
249,2016.04.18.a,2016.0,Provoked,french polynesia,26.0,"Grey reef shark, 2 m",Apr,N,M,Grey,joven
250,2016.04.09,2016.0,Unprovoked,new caledonia,28.70969899665552,"Tiger shark, 2.5 m",Apr,Y,F,Tiger,mayor
251,2016.01.23,2016.0,Unprovoked,usa,48.0,"Tiger shark, 14'",Jan,N,M,Tiger,adulto
252,2016.01.05,2016.0,Unprovoked,australia,11.0,Blacktip shark,Jan,N,M,Unspecified,joven
253,2016.01.02,2016.0,Unprovoked,australia,31.0,3 m shark,Jan,N,M,Unspecified,joven
254,2015.12.22,2015.0,Unprovoked,usa,28.70969899665552,9' shark,Dec,N,M,Unspecified,mayor
255,2015.12.21.b,2015.0,Unprovoked,australia,43.0,"Bronze whaler shark, 6'",Dec,N,M,Unspecified,adulto
256,2015.11.20,2015.0,Unprovoked,ecuador,55.0,Galapagos shark,Nov,N,M,Unspecified,adulto
257,2015.11.10,2015.0,Unprovoked,australia,20.0,"Bull shark, 2.8 to 3.1 m",Nov,N,M,Bull,joven
258,2015.12.23,2015.0,Invalid,usa,9.0,Shark involvement not confirmed,Nov,,F,Unspecified,joven
259,2015.11.01.b,2015.0,Unprovoked,usa,28.0,3' to 5' shark,Nov,N,F,Unspecified,joven
260,2015.10.25,2015.0,Unprovoked,south africa,42.0,"White shark, 3 to 3.5m ",Oct,N,M,White,adulto
261,2015.10.21,2015.0,Unprovoked,usa,21.0,5' shark,Oct,N,M,Unspecified,joven
262,2015.10.19,2015.0,Unprovoked,usa,21.0,"Spinner shark, 5'",Oct,N,M,Unspecified,joven
263,2015.10.17.b,2015.0,Invalid,usa,32.0,No shark involvement,Oct,,M,Unspecified,adulto
264,2015.10.17.a,2015.0,Unprovoked,usa,44.0,"Tiger shark, 7'",Oct,N,M,Tiger,adulto
265,2015.10.09.a,2015.0,Unprovoked,usa,25.0,"Tiger shark, 13' ",Oct,N,M,Tiger,joven
266,2015.10.05.a,2015.0,Unprovoked,usa,13.0,4' to 5' shark,Oct,N,M,Unspecified,joven
267,2015.10.04,2015.0,Unprovoked,usa,14.0,"Blacktip shark, 4' to 5'",Oct,N,M,Unspecified,joven
268,2015.09.29,2015.0,Unprovoked,usa,22.0,"Blacktip shark, 5' to 6'",Sep,N,M,Unspecified,joven
269,2015.09.20.d,2015.0,Unprovoked,usa,14.0,juvenile shark,Sep,N,M,Unspecified,joven
270,2015.09.20.c,2015.0,Unprovoked,usa,27.0,"Tiger shark, 13'",Sep,N,M,Tiger,joven
271,2015.09.20.b,2015.0,Unprovoked,usa,12.0,4' shark,Sep,N,M,Unspecified,joven
272,2015.09.08,2015.0,Unprovoked,australia,42.0,6' shark,Sep,N,M,Unspecified,adulto
273,2015.09.06,2015.0,Unprovoked,usa,50.0,"White shark, 11' to 12'",Sep,N,F,White,adulto
274,2015.09.05,2015.0,Provoked,usa,29.0,Hammerhead shark.,Sep,N,M,Unspecified,joven
275,2015.09.04,2015.0,Unprovoked,australia,62.0,"White shark, 2.5 m",Sep,N,M,White,mayor
276,2015.09.01,2015.0,Unprovoked,thailand,37.0,small shark,Sep,N,F,Unspecified,adulto
277,2015.08.29.b,2015.0,Unprovoked,usa,54.0,"White shark, 11' to 12'",Aug,N,F,White,adulto
278,2015.08.29.a,2015.0,Unprovoked,usa,21.0,"White shark, 10' to 12' ",Aug,N,M,White,joven
279,2015.08.20,2015.0,Unprovoked,usa,15.0,4' shark,Aug,N,M,Unspecified,joven
280,2015.08.19,2015.0,Unprovoked,usa,10.0,3' shark,Aug,N,F,Unspecified,joven
281,2015.08.18.b,2015.0,Boating,usa,22.0,"White shark, 13'",Aug,N,M,White,joven
282,2015.08.18.a,2015.0,Invalid,spain,10.0,Shark involvement not confirmed,Aug,,M,Unspecified,joven
283,2015.08.10,2015.0,Provoked,usa,57.0,Hammerhead shark. 6' to 7',Aug,N,M,Unspecified,adulto
284,2015.07.31,2015.0,Unprovoked,australia,52.0,White shark,Jul,N,M,White,adulto
285,2015.07.26.b,2015.0,Unprovoked,usa,25.0,"Blacktip or spinner shark, 4'",Jul,N,M,Unspecified,joven
286,2015.07.26.a,2015.0,Invalid,usa,35.0,"Thought to involve a 3' to 4' shark, but shark involvement not confirmed",Jul,,F,Unspecified,adulto
287,2015.07.25,2015.0,Unprovoked,australia,46.0,"White shark, 3.9 to 4.2 m",Jul,Y,M,White,adulto
288,2015.07-10,2015.0,Unprovoked,usa,38.0,"White shark, 7'",Jul,N,M,White,adulto
289,2015.07.03,2015.0,Unprovoked,australia,52.0,White shark,Jul,N,M,White,adulto
290,2015.07.02,2015.0,Unprovoked,australia,32.0,White shark,Jul,N,M,White,adulto
291,2015.07.01,2015.0,Unprovoked,usa,28.70969899665552,6' to 7' shark,Jul,N,M,Unspecified,mayor
292,2015.06.30.a,2015.0,Unprovoked,usa,12.0,4' to 5' shark,Jun,N,M,Unspecified,joven
293,2015.06.27.b,2015.0,Unprovoked,usa,18.0,Bull shark,Jun,N,M,Bull,joven
294,2015.06.27.a,2015.0,Unprovoked,south africa,19.0,White shark,Jun,N,M,White,joven
295,2015.06.26.b,2015.0,Unprovoked,south africa,23.0,"White shark, 2m to 3 m",Jun,N,M,White,joven
296,2015.06.26.a,2015.0,Unprovoked,usa,43.0,4' shark,Jun,N,M,Unspecified,adulto
297,2015.06.24.b,2015.0,Unprovoked,usa,6.0,Sandtiger shark,Jun,N,M,Tiger,joven
298,2015.06.24.a,2015.0,Invalid,australia,37.0,White shark,Jun,N,F,White,adulto
299,2015.06.14.b,2015.0,Unprovoked,usa,16.0,Bull shark,Jun,N,M,Bull,joven
300,2015.06.14.a,2015.0,Unprovoked,usa,12.0,Bull shark,Jun,N,F,Bull,joven
301,2015.06.11,2015.0,Unprovoked,usa,13.0,4' shark,Jun,N,F,Unspecified,joven
302,2015.06.07,2015.0,Unprovoked,usa,11.0,"Bull shark, 5'",Jun,N,M,Bull,joven
303,2015.06.01,2015.0,Unprovoked,reunion,47.0,"Bull shark, 2.5 m",Jun,N,M,Bull,adulto
304,2015.05.25,2015.0,Unprovoked,french polynesia,19.0,1m to 1.2 m shark,May,N,M,Unspecified,joven
